"","GeneID","Module"
"635","CDO30_RS11095","brown"
"636","CDO30_RS21910","blue"
"637","CDO30_RS12595","blue"
"638","CDO30_RS02110","grey"
"639","CDO30_RS13175","blue"
"640","CDO30_RS14810","grey"
"641","CDO30_RS14555","turquoise"
"642","CDO30_RS05780","turquoise"
"643","CDO30_RS15935","green"
"644","CDO30_RS02120","turquoise"
"645","CDO30_RS11285","turquoise"
"646","CDO30_RS14505","blue"
"647","CDO30_RS11140","grey"
"648","CDO30_RS28015","grey"
"649","CDO30_RS22415","black"
"650","CDO30_RS04900","black"
"651","CDO30_RS07795","turquoise"
"652","CDO30_RS09660","grey"
"653","CDO30_RS32955","turquoise"
"654","CDO30_RS00595","turquoise"
"655","CDO30_RS22410","black"
"656","CDO30_RS09920","blue"
"657","CDO30_RS08820","turquoise"
"658","CDO30_RS16475","brown"
"659","CDO30_RS25715","blue"
"660","CDO30_RS06385","grey"
"661","CDO30_RS17325","blue"
"662","CDO30_RS26875","turquoise"
"663","CDO30_RS23765","blue"
"664","CDO30_RS10180","blue"
"665","CDO30_RS21545","grey"
"666","CDO30_RS05035","green"
"667","CDO30_RS15860","turquoise"
"668","CDO30_RS03415","blue"
"669","CDO30_RS33340","blue"
"670","CDO30_RS02525","turquoise"
"671","CDO30_RS15020","blue"
"672","CDO30_RS06740","blue"
"673","CDO30_RS18080","turquoise"
"674","CDO30_RS12565","brown"
"675","CDO30_RS11385","brown"
"676","CDO30_RS24025","blue"
"677","CDO30_RS04155","turquoise"
"678","CDO30_RS20705","turquoise"
"679","CDO30_RS15555","turquoise"
"680","CDO30_RS15520","green"
"681","CDO30_RS09670","turquoise"
"682","CDO30_RS06370","turquoise"
"683","CDO30_RS06375","turquoise"
"684","CDO30_RS13310","brown"
"685","CDO30_RS08975","blue"
"686","CDO30_RS10065","blue"
"687","CDO30_RS14145","brown"
"688","CDO30_RS04340","grey"
"689","CDO30_RS12205","grey"
"690","CDO30_RS17555","turquoise"
"691","CDO30_RS09620","turquoise"
"692","CDO30_RS17640","turquoise"
"693","CDO30_RS32935","turquoise"
"694","CDO30_RS14375","turquoise"
"695","CDO30_RS19585","yellow"
"696","CDO30_RS08185","turquoise"
"697","CDO30_RS32355","blue"
"698","CDO30_RS28455","turquoise"
"699","CDO30_RS10405","turquoise"
"700","CDO30_RS01370","black"
"701","CDO30_RS31065","blue"
"702","CDO30_RS29950","turquoise"
"703","CDO30_RS07755","red"
"704","CDO30_RS02805","blue"
"705","CDO30_RS13010","blue"
"706","CDO30_RS01290","grey"
"707","CDO30_RS02005","turquoise"
"708","CDO30_RS16485","turquoise"
"709","CDO30_RS09970","brown"
"710","CDO30_RS32335","blue"
"711","CDO30_RS13490","blue"
"712","CDO30_RS15425","grey"
"713","CDO30_RS03730","red"
"714","CDO30_RS02930","blue"
"715","CDO30_RS07845","turquoise"
"716","CDO30_RS11235","blue"
"717","CDO30_RS15765","grey"
"718","CDO30_RS13025","blue"
"719","CDO30_RS07700","red"
"720","CDO30_RS02280","turquoise"
"721","CDO30_RS02020","turquoise"
"722","CDO30_RS31695","blue"
"723","CDO30_RS03135","grey"
"724","CDO30_RS19850","yellow"
"725","CDO30_RS07440","brown"
"726","CDO30_RS06350","blue"
"727","CDO30_RS04315","turquoise"
"728","CDO30_RS08440","brown"
"729","CDO30_RS10980","brown"
"730","CDO30_RS06800","turquoise"
"731","CDO30_RS12675","grey"
"732","CDO30_RS08445","grey"
"733","CDO30_RS10960","turquoise"
"734","CDO30_RS03320","blue"
"735","CDO30_RS09595","red"
"736","CDO30_RS14410","blue"
"737","CDO30_RS05200","brown"
"738","CDO30_RS22035","blue"
"739","CDO30_RS29535","turquoise"
"740","CDO30_RS11895","brown"
"741","CDO30_RS27085","blue"
"742","CDO30_RS05060","blue"
"743","CDO30_RS08235","turquoise"
"744","CDO30_RS00055","blue"
"745","CDO30_RS14230","turquoise"
"746","CDO30_RS02550","turquoise"
"747","CDO30_RS03775","turquoise"
"748","CDO30_RS14920","turquoise"
"749","CDO30_RS05420","blue"
"750","CDO30_RS02965","brown"
"751","CDO30_RS13590","brown"
"752","CDO30_RS24465","blue"
"753","CDO30_RS13535","blue"
"754","CDO30_RS09055","blue"
"755","CDO30_RS31335","grey"
"756","CDO30_RS30645","brown"
"757","CDO30_RS35420","blue"
"758","CDO30_RS13255","turquoise"
"759","CDO30_RS00200","turquoise"
"760","CDO30_RS00075","turquoise"
"761","CDO30_RS15780","grey"
"762","CDO30_RS30245","blue"
"763","CDO30_RS14460","turquoise"
"764","CDO30_RS25165","grey"
"765","CDO30_RS11255","blue"
"766","CDO30_RS29420","grey"
"767","CDO30_RS07550","red"
"768","CDO30_RS09590","turquoise"
"769","CDO30_RS11905","grey"
"770","CDO30_RS28830","turquoise"
"771","CDO30_RS10335","blue"
"772","CDO30_RS01470","brown"
"773","CDO30_RS03385","turquoise"
"774","CDO30_RS10895","grey"
"775","CDO30_RS08760","grey"
"776","CDO30_RS03050","grey"
"777","CDO30_RS01785","turquoise"
"778","CDO30_RS02960","brown"
"779","CDO30_RS21965","blue"
"780","CDO30_RS17800","turquoise"
"781","CDO30_RS15370","blue"
"782","CDO30_RS11800","grey"
"783","CDO30_RS04360","turquoise"
"784","CDO30_RS01845","blue"
"785","CDO30_RS00995","grey"
"786","CDO30_RS12065","turquoise"
"787","CDO30_RS29695","green"
"788","CDO30_RS16065","blue"
"789","CDO30_RS13430","blue"
"790","CDO30_RS11100","turquoise"
"791","CDO30_RS31070","brown"
