"","GeneID","Module"
"715","CDO30_RS07845","yellow"
"716","CDO30_RS11235","pink"
"717","CDO30_RS15765","turquoise"
"718","CDO30_RS13025","pink"
"719","CDO30_RS07700","black"
"720","CDO30_RS02280","yellow"
"721","CDO30_RS02020","yellow"
"722","CDO30_RS31695","pink"
"723","CDO30_RS03135","turquoise"
"724","CDO30_RS19850","magenta"
"725","CDO30_RS07440","black"
"726","CDO30_RS06350","pink"
"727","CDO30_RS04315","yellow"
"728","CDO30_RS08440","grey"
"729","CDO30_RS10980","yellow"
"730","CDO30_RS06800","yellow"
"731","CDO30_RS12675","grey"
"732","CDO30_RS08445","purple"
"733","CDO30_RS10960","yellow"
"734","CDO30_RS03320","pink"
"735","CDO30_RS09595","black"
"736","CDO30_RS14410","blue"
"737","CDO30_RS05200","black"
"738","CDO30_RS22035","black"
"739","CDO30_RS29535","yellow"
"740","CDO30_RS11895","turquoise"
"741","CDO30_RS27085","pink"
"742","CDO30_RS05060","pink"
"743","CDO30_RS08235","yellow"
"744","CDO30_RS00055","pink"
"745","CDO30_RS14230","yellow"
"746","CDO30_RS02550","yellow"
"747","CDO30_RS03775","yellow"
"748","CDO30_RS14920","yellow"
"749","CDO30_RS05420","pink"
"750","CDO30_RS02965","black"
"751","CDO30_RS13590","yellow"
"752","CDO30_RS24465","pink"
"753","CDO30_RS13535","pink"
"754","CDO30_RS09055","yellow"
"755","CDO30_RS31335","brown"
"756","CDO30_RS30645","black"
"757","CDO30_RS35420","pink"
"758","CDO30_RS13255","yellow"
"759","CDO30_RS00200","yellow"
"760","CDO30_RS00075","yellow"
"761","CDO30_RS15780","green"
"762","CDO30_RS30245","pink"
"763","CDO30_RS14460","yellow"
"764","CDO30_RS25165","blue"
"765","CDO30_RS11255","yellow"
"766","CDO30_RS29420","green"
"767","CDO30_RS07550","grey"
"768","CDO30_RS09590","yellow"
"769","CDO30_RS11905","brown"
"770","CDO30_RS28830","yellow"
"771","CDO30_RS10335","blue"
"772","CDO30_RS01470","black"
"773","CDO30_RS03385","yellow"
"774","CDO30_RS10895","grey"
"775","CDO30_RS08760","turquoise"
"776","CDO30_RS03050","turquoise"
"777","CDO30_RS01785","yellow"
"778","CDO30_RS02960","black"
"779","CDO30_RS21965","pink"
"780","CDO30_RS17800","yellow"
"781","CDO30_RS15370","black"
"782","CDO30_RS11800","grey"
"783","CDO30_RS04360","yellow"
"784","CDO30_RS01845","pink"
"785","CDO30_RS00995","blue"
"786","CDO30_RS12065","yellow"
"787","CDO30_RS29695","salmon"
"788","CDO30_RS16065","brown"
"789","CDO30_RS13430","turquoise"
"790","CDO30_RS11100","yellow"
"791","CDO30_RS31070","black"
"792","CDO30_RS27240","yellow"
"793","CDO30_RS09890","yellow"
"794","CDO30_RS18185","grey"
"795","CDO30_RS02430","yellow"
"796","CDO30_RS15485","yellow"
"797","CDO30_RS32540","black"
"798","CDO30_RS06075","turquoise"
